,unique_id,address,lat,lon,felt_temperature_today,Cloudiness,Average_windspeed_7days
0,0,Mont Saint Michel,48.6359541,-1.511459954959514,10.15,34.0,6.51
1,1,St Malo,48.649518,-2.0260409,10.16,89.0,7.855714285714286
2,2,Bayeux,49.2764624,-0.7024738,9.78,32.0,7.378571428571428
3,3,Le Havre,49.4938975,0.1079732,6.36,89.0,8.828571428571427
4,4,Rouen,49.4404591,1.0939658,9.87,97.0,6.751428571428572
5,5,Paris,48.8588897,2.3200410217200766,9.54,87.0,5.064285714285715
6,6,Amiens,49.8941708,2.2956951,10.24,99.0,7.439999999999999
7,7,Lille,50.6365654,3.0635282,10.99,97.0,7.427142857142856
8,8,Strasbourg,48.584614,7.7507127,1.17,100.0,5.56
9,9,Chateau du Haut Koenigsbourg,48.2495226,7.3454923,-0.32,100.0,3.5542857142857143
10,10,Colmar,48.0777517,7.3579641,3.53,100.0,3.937142857142857
11,11,Eguisheim,48.0447968,7.3079618,4.21,100.0,3.6157142857142857
12,12,Besancon,47.2380222,6.0243622,2.78,94.0,4.525714285714285
13,13,Dijon,47.3215806,5.0414701,1.42,89.0,4.661428571428571
14,14,Annecy,45.8992348,6.1288847,3.94,65.0,1.9385714285714288
15,15,Grenoble,45.1875602,5.7357819,5.53,13.0,2.914285714285714
16,16,Lyon,45.7578137,4.8320114,3.38,64.0,3.232857142857143
17,17,Bormes les Mimosas,43.1572172,6.329253867921363,12.36,18.0,7.028571428571428
18,18,Cassis,43.2140359,5.5396318,11.59,6.0,10.62
19,19,Marseille,43.2961743,5.3699525,11.14,2.0,11.487142857142857
20,20,Aix en Provence,43.5298424,5.4474738,9.81,9.0,7.254285714285714
21,21,Avignon,43.9492493,4.8059012,8.42,9.0,11.105714285714289
22,22,Uzes,44.0121279,4.4196718,7.24,22.0,7.958571428571427
23,23,Nimes,43.8374249,4.3600687,9.71,6.0,7.424285714285715
24,24,Aigues Mortes,43.5658225,4.1912837,10.98,2.0,8.108571428571429
25,25,Saintes Maries de la mer,43.4522771,4.4287172,11.11,2.0,10.227142857142857
26,26,Collioure,42.52505,3.0831554,17.25,1.0,9.58
27,27,Carcassonne,43.2130358,2.3491069,5.45,1.0,7.674285714285714
28,28,Toulouse,43.6044622,1.4442469,0.13,83.0,5.21
29,29,Montauban,44.0175835,1.3549991,0.51,6.0,4.921428571428572
30,30,Biarritz,43.4832523,-1.5592776,4.6,82.0,5.558571428571428
31,31,Bayonne,43.4933379,-1.475099,4.39,82.0,4.948571428571428
32,32,La Rochelle,46.1591126,-1.1520434,5.82,96.0,5.671428571428572
