,Unnamed: 0,name,url,address,image_url,score,description
0,0,Hôtel Vert,https://www.booking.com/hotel/fr/vert.fr.html?label=gen173nr-1DCAEoggI46AdIDVgEaE2IAQGYAQ24AQfIAQzYAQPoAQH4AQKIAgGoAgO4Aqnj0I8GwAIB0gIkNDI1ZjUxZDktMTM3Zi00ZmY2LWFjZjUtOTVlOTZhZjlmMmE12AIE4AIB&sid=6385ab5e5b401b7fccbcd7c22ba00b5e&aid=304142&ucfs=1&arphpl=1&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=ad5a543a07440109&srepoch=1643457526&from=searchresults#hotelTmpl,Mont Saint Michel,https://cf.bstatic.com/xdata/images/hotel/square200/122592840.webp?k=1877065fe96c8dfdfa3c88d3b0b0a0e5834ff53e1f377d235d1b4de3c4ece1c3&o=&s=1,"8,1","Situé à 2 km du Mont-Saint-Michel, sur la côte normande, l'Hôtel Vert propose des chambres décorées dans des tons pastel dotées d'une salle de bains privative, d'une télévision ainsi que d'une..."
1,1,Mercure Mont Saint Michel,https://www.booking.com/hotel/fr/mont-saint-michel.fr.html?label=gen173nr-1DCAEoggI46AdIDVgEaE2IAQGYAQ24AQfIAQzYAQPoAQH4AQKIAgGoAgO4Aqnj0I8GwAIB0gIkNDI1ZjUxZDktMTM3Zi00ZmY2LWFjZjUtOTVlOTZhZjlmMmE12AIE4AIB&sid=6385ab5e5b401b7fccbcd7c22ba00b5e&aid=304142&ucfs=1&arphpl=1&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=ad5a543a07440109&srepoch=1643457526&from=searchresults#hotelTmpl,Mont Saint Michel,https://cf.bstatic.com/xdata/images/hotel/square200/260911452.webp?k=a2d9c404e09cbed7c5c877c6111cf72b362c0038ef8ccf83bf69ba06b655cebf&o=&s=1,"8,2","Installé dans des espaces verts à seulement 2 km de l'abbaye du Mont-Saint-Michel, le Mercure Mont Saint Michel propose des chambres spacieuses avec salle de bains privative, un bar-restaurant et de..."
2,2,Le Relais Saint Michel,https://www.booking.com/hotel/fr/le-relais-saint-michel.fr.html?label=gen173nr-1DCAEoggI46AdIDVgEaE2IAQGYAQ24AQfIAQzYAQPoAQH4AQKIAgGoAgO4Aqnj0I8GwAIB0gIkNDI1ZjUxZDktMTM3Zi00ZmY2LWFjZjUtOTVlOTZhZjlmMmE12AIE4AIB&sid=6385ab5e5b401b7fccbcd7c22ba00b5e&aid=304142&ucfs=1&arphpl=1&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=ad5a543a07440109&srepoch=1643457526&from=searchresults#hotelTmpl,Mont Saint Michel,https://cf.bstatic.com/xdata/images/hotel/square200/155740456.webp?k=b1851f19b3b370c77cc0981ffaa8910849becd0c5c3c6d160c2ff200ebac288c&o=&s=1,"7,8",Le Relais Saint Michel vous accueille face à la baie du Mont-Saint-Michel. 
3,3,La Mère Poulard,https://www.booking.com/hotel/fr/la-mere-poulard.fr.html?label=gen173nr-1DCAEoggI46AdIDVgEaE2IAQGYAQ24AQfIAQzYAQPoAQH4AQKIAgGoAgO4Aqnj0I8GwAIB0gIkNDI1ZjUxZDktMTM3Zi00ZmY2LWFjZjUtOTVlOTZhZjlmMmE12AIE4AIB&sid=6385ab5e5b401b7fccbcd7c22ba00b5e&aid=304142&ucfs=1&arphpl=1&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=ad5a543a07440109&srepoch=1643457526&from=searchresults#hotelTmpl,Mont Saint Michel,https://cf.bstatic.com/xdata/images/hotel/square200/158191543.webp?k=2a3c166890b5c9a09e8e3948e56124f8c5225d5f547e5abf143ff40c27635a40&o=&s=1,"7,1","Occupant un bâtiment historique, l'hôtel La Mère Poulard jouit d'un emplacement idéal au cœur du Mont-Saint-Michel. "
4,4,Le Mouton Blanc,https://www.booking.com/hotel/fr/le-mouton-blanc-le-mont-saint-michel.fr.html?label=gen173nr-1DCAEoggI46AdIDVgEaE2IAQGYAQ24AQfIAQzYAQPoAQH4AQKIAgGoAgO4Aqnj0I8GwAIB0gIkNDI1ZjUxZDktMTM3Zi00ZmY2LWFjZjUtOTVlOTZhZjlmMmE12AIE4AIB&sid=6385ab5e5b401b7fccbcd7c22ba00b5e&aid=304142&ucfs=1&arphpl=1&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=ad5a543a07440109&srepoch=1643457526&from=searchresults#hotelTmpl,Mont Saint Michel,https://cf.bstatic.com/xdata/images/hotel/square200/138240060.webp?k=1f1baefa0b0ca2564c53ba30eda821dd49c2c58b8cf52e8abdade7e6a60d7ec2&o=&s=1,"7,2","Situé au pied de l'abbaye, le Mouton Blanc Hotel vous accueille dans son bâtiment historique datant du XIVe siècle. Il propose des chambres confortables avec une décoration simple et accueillante. "
5,5,Les Terrasses Poulard,https://www.booking.com/hotel/fr/les-terrasses-poulard.fr.html?label=gen173nr-1DCAEoggI46AdIDVgEaE2IAQGYAQ24AQfIAQzYAQPoAQH4AQKIAgGoAgO4Aqnj0I8GwAIB0gIkNDI1ZjUxZDktMTM3Zi00ZmY2LWFjZjUtOTVlOTZhZjlmMmE12AIE4AIB&sid=6385ab5e5b401b7fccbcd7c22ba00b5e&aid=304142&ucfs=1&arphpl=1&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=ad5a543a07440109&srepoch=1643457526&from=searchresults#hotelTmpl,Mont Saint Michel,https://cf.bstatic.com/xdata/images/hotel/square200/103578912.webp?k=c4763f25bab70657e61bd6610f9449adfa13721636f53a657568f1f732ea3702&o=&s=1,"7,3","Occupant 2 bâtiments différents au cœur du Mont-Saint-Michel, l'établissement historique Les Terrasses Poulard propose des hébergements avec une vue sur la baie, le village et la rue. "
6,6,Hotel De La Digue,https://www.booking.com/hotel/fr/de-la-digue.fr.html?label=gen173nr-1DCAEoggI46AdIDVgEaE2IAQGYAQ24AQfIAQzYAQPoAQH4AQKIAgGoAgO4Aqnj0I8GwAIB0gIkNDI1ZjUxZDktMTM3Zi00ZmY2LWFjZjUtOTVlOTZhZjlmMmE12AIE4AIB&sid=6385ab5e5b401b7fccbcd7c22ba00b5e&aid=304142&ucfs=1&arphpl=1&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=ad5a543a07440109&srepoch=1643457526&from=searchresults#hotelTmpl,Mont Saint Michel,https://cf.bstatic.com/xdata/images/hotel/square200/92104071.webp?k=e984b0f0d49e7597c10f3e3a512e0ce925bd0cdfc7e06ce2b3e228792f8aebef&o=&s=1,"7,1","L'hôtel De La Digue est un établissement traditionnel situé en Normandie, à seulement 5 minutes en navette ou à 30 minutes de marche du Mont-Saint-Michel. "
7,7,Auberge Saint Pierre,https://www.booking.com/hotel/fr/auberge-saint-pierre.fr.html?label=gen173nr-1DCAEoggI46AdIDVgEaE2IAQGYAQ24AQfIAQzYAQPoAQH4AQKIAgGoAgO4Aqnj0I8GwAIB0gIkNDI1ZjUxZDktMTM3Zi00ZmY2LWFjZjUtOTVlOTZhZjlmMmE12AIE4AIB&sid=6385ab5e5b401b7fccbcd7c22ba00b5e&aid=304142&ucfs=1&arphpl=1&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=ad5a543a07440109&srepoch=1643457526&from=searchresults#hotelTmpl,Mont Saint Michel,https://cf.bstatic.com/xdata/images/hotel/square200/4318852.webp?k=579a1d110f002178551701e1df7af3b23d8615d9a0bfac944a1359ab5aebb843&o=&s=1,"8,1","L'Auberge Saint-Pierre occupe une maison à colombages du XIVe siècle située au Mont-Saint-Michel, une île accessible à marée basse. "
8,8,Hotel Gabriel,https://www.booking.com/hotel/fr/hotel-gabriel.fr.html?label=gen173nr-1DCAEoggI46AdIDVgEaE2IAQGYAQ24AQfIAQzYAQPoAQH4AQKIAgGoAgO4Aqnj0I8GwAIB0gIkNDI1ZjUxZDktMTM3Zi00ZmY2LWFjZjUtOTVlOTZhZjlmMmE12AIE4AIB&sid=6385ab5e5b401b7fccbcd7c22ba00b5e&aid=304142&ucfs=1&arphpl=1&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=ad5a543a07440109&srepoch=1643457526&from=searchresults#hotelTmpl,Mont Saint Michel,https://cf.bstatic.com/xdata/images/hotel/square200/34904065.webp?k=29aa13f199803bcaf73dc86221375fa0428080ea1a10021dcbdbbafa6bd22040&o=&s=1,"8,1","L’Hotel Gabriel se trouve à 1,6 km du Mont-Saint-Michel. L’établissement est à seulement 25 minutes à pied des remparts de la vieille ville. "
9,9,Le Saint Aubert,https://www.booking.com/hotel/fr/hotel-saint-aubert.fr.html?label=gen173nr-1DCAEoggI46AdIDVgEaE2IAQGYAQ24AQfIAQzYAQPoAQH4AQKIAgGoAgO4Aqnj0I8GwAIB0gIkNDI1ZjUxZDktMTM3Zi00ZmY2LWFjZjUtOTVlOTZhZjlmMmE12AIE4AIB&sid=6385ab5e5b401b7fccbcd7c22ba00b5e&aid=304142&ucfs=1&arphpl=1&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=ad5a543a07440109&srepoch=1643457526&from=searchresults#hotelTmpl,Mont Saint Michel,https://cf.bstatic.com/xdata/images/hotel/square200/85738273.webp?k=6211aacc9727d0d302b6a5c38c039901aec6e861f8d43d1080e36ce7879b6d3b&o=&s=1,"7,3","Niché dans un écrin de verdure, à seulement 2 km du Mont-Saint-Michel, Le Saint Aubert vous accueille dans un cadre chaleureux et convivial. "
